상호,영업표지,대표자,등록번호,최초등록일,업종
다니엘푸드,전준수명품청기와감자탕,전양수,20160711,2016.07.28,한식
공소,"ONCE, TIME OFF",박두용,20231072,2023.07.25,음료 (커피 외)
장호덕손만두,덕이네칼국수,장호덕,20221341,2022.12.08,기타 외식
장호덕손만두,장호덕손만두,장호덕,20181053,2018.10.16,분식
통큰곱창,통큰곱창,곽란,20221366,2022.12.09,한식
(주)인정푸드,인생고기집 정육식당,조휘진,20231067,2023.07.25,한식
조박사소머리국밥,조박사 소머리국밥,김은이,20230283,2023.02.21,한식
서가김푸드FC,브런치가든,"서인환, 김훈형",20213349,2021.10.27,서양식
서가김푸드FC,라라 수제와플,"서인환, 김훈형",20213350,2021.10.27,제과제빵
서가김푸드FC,상상식당,"서인환, 김훈형",20213351,2021.10.27,기타 외식
서가김푸드FC,가든쿡,"서인환, 김훈형",20210891,2021.03.26,서양식
서가김푸드FC,수수카츠 돈카츠&김치찌개,"서인환, 김훈형",20213348,2021.10.27,기타 외식
서가김푸드FC,착한쭝식,"서인환, 김훈형",20170711,2017.06.16,중식
서가김푸드FC,서가 김푸드 연수해물나라,"서인환, 김훈형",20170181,2017.02.03,기타 외식
(주)하임,비비드뮤지엄(vivid museum),강동근,20231068,2023.07.25,기타 서비스
(주)벨라루시,벨라루시펫살롱,정재명,20231069,2023.07.25,반려동물 관련
보노푸드,보노보노웍,강대구,20190070,2019.01.23,한식
유한회사서경에프앤비,SaladAnn,김분정,20214336,2021.11.08,기타 외식
유한회사서경에프앤비,미스터떡볶이,김분정,20211500,2021.07.02,분식
유한회사서경에프앤비,미스터숯불치킨,김분정,20214335,2021.11.05,치킨
(주)황제에프앤씨,황제무한화로구이,김성훈,20213027,2021.10.21,한식
(주)제곱컴퍼니,카페제곱,서혜원,20211335,2021.06.07,커피
(주)빌리언스,와플레이,이찬규,20214329,2021.11.08,기타 외식
(주)진원푸드,진원 소우,"장진철, 장원종",20190272,2019.04.02,한식
로랑뷰티,제이로랑,조아란,20200738,2020.06.17,이미용
샐요뜨,샐요뜨,조예린,20213817,2021.11.02,서양식
갈매기브루잉(주),갈매기브루잉,ALLSOPP STEVEN,20170244,2017.02.15,주점
(주)팬아시아다인힐,팬아시아(Pan Asia),배진규,20130346,2013.11.01,기타 외식
(주)팬아시아다인힐,정데판,배진규,20220987,2022.09.27,한식
(주)팬아시아다인힐,온기정,배진규,20190381,2019.04.23,일식
(주)고선생에프씨에스,첸사부의마라탕반,정원철,20214089,2021.11.04,중식
(주)고선생에프씨에스,조쉐프의쌀국수&쌀파스타,정원철,20211336,2021.06.04,서양식
프루쉬푸드,프루쉬,유지혜,20215602,2021.11.17,음료 (커피 외)
토피아에듀케이션(주),토피아어학원,김석환,20080100423,2008.09.01,교육 (외국어)
돈대닥,삼계꿀치킨,허정우,20213843,2021.11.02,치킨
(주)팔복식품,팔복통닭,원명조,20212436,2021.10.07,치킨
(주)위피에프앤비,만식이네와인포차,"박용찬, 이원민",20180654,2018.07.06,서양식
(주)마켓브이,마켓브이,손정현,20214230,2021.11.05,기타도소매
(주)트라웰,트라웰,김회영,20214222,2021.11.05,종합소매점
디에스(DS)컴퍼니,찜갈비리아 순살킹,이수일,20213834,2021.11.02,한식
